Locality,Zip Code,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Garden,Swimming Pool,Surface of the Land (m2),PEB,Primary Energy Consumption (kWh/m2),State of the Building,Url,Price/m2,Price/m2 Ratio,Price Ratio,Zip Code Score,Type of Property Score,Number of Rooms Score,Livable Space (m2) Score,Surface of the Land (m2) Score,State of the Building Score,Primary Energy Consumption (kWh/m2) Score
Deerlijk,8540,Apartment,apartment,293311,2,93,0,0,0,1,0,0,0,6,28,3,https://www.immoweb.be/en/classified/apartment/for-sale/deerlijk/8540/10671258,3153.8817204301076,0.01308822303720535,0.1173244,0.16831785,0.47654732029513713,0.2396759183972921,0.12678575510204082,0.13700230701200253,0.783305349684755,0.2135498746867168
Auderghem,1160,Apartment,apartment,449000,2,120,1,0,0,1,1,0,0,3,162,5,https://www.immoweb.be/en/classified/apartment/for-sale/auderghem/1160/20209328,3741.6666666666665,0.01552745860663777,0.1796,0.21645142857142857,0.47654732029513713,0.2396759183972921,0.15922875333333333,0.13700230701200253,1.0,0.3002120686331212
Saint-josse-ten-noode,1210,Apartment,apartment,139000,1,44,0,0,0,0,0,0,0,1,327,2,https://www.immoweb.be/en/classified/apartment/for-sale/saint-josse-ten-noode/1210/20237973,3159.090909090909,0.013109840532431565,0.0556,0.13082222222222223,0.47654732029513713,0.1655308767042207,0.06082222222222222,0.13700230701200253,0.8471914096171692,0.2983530254206946
Torhout,8820,House,house,665505,4,181,1,0,0,0,0,0,900,0,0,3,https://www.immoweb.be/en/classified/house/for-sale/torhout/8820/11451665,3676.8232044198894,0.015258366176540333,0.266202,0.207134,1.0,0.5356062052779402,0.235663968,0.2448404,0.783305349684755,0.2372536722133202
Etterbeek,1040,House,apartment-block,1250000,8,390,1,0,0,0,0,0,277,2,271,3,https://www.immoweb.be/en/classified/apartment-block/for-sale/etterbeek/1040/20257402,3205.128205128205,0.013300889675036637,0.5,0.2706352941176471,1.0,0.9023114444304979,0.545,0.2674666666666667,0.783305349684755,0.32728249194414605
Oostende,8400,Apartment,apartment,295000,2,78,0,0,0,1,0,0,0,5,153,0,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20200499,3782.051282051282,0.01569504981654323,0.118,0.1274333653846154,0.47654732029513713,0.2396759183972921,0.10724919069767441,0.13700230701200253,0.7864438202662855,0.3257217116866239
Oostende,8400,Apartment,apartment,295000,2,87,1,0,0,0,0,0,0,5,168,3,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/11132793,3390.8045977011493,0.014071423973452553,0.118,0.1274333653846154,0.47654732029513713,0.2396759183972921,0.11874797,0.13700230701200253,0.783305349684755,0.248671679197995
Keerbergen,3140,House,house,1790000,4,476,0,0,0,0,0,0,2800,4,0,3,https://www.immoweb.be/en/classified/house/for-sale/keerbergen/3140/20273047,3760.5042016806724,0.0156056320708287,0.716,0.3516705882352941,1.0,0.5356062052779402,0.7015,0.716,0.783305349684755,0.2372536722133202
Deinze,9800,Apartment,apartment,298000,2,86,1,0,0,1,1,0,0,5,128,0,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/20206680,3465.1162790697676,0.014379808353793098,0.1192,0.19569967692307694,0.47654732029513713,0.2396759183972921,0.11701582127659575,0.13700230701200253,0.7864438202662855,0.2279876984126984
Saint-josse-ten-noode,1210,Apartment,apartment,169000,1,61,0,0,0,0,0,0,0,3,181,2,https://www.immoweb.be/en/classified/apartment/for-sale/saint-josse-ten-noode/1210/20238677,2770.4918032786886,0.01149720181615298,0.0676,0.13082222222222223,0.47654732029513713,0.1655308767042207,0.08699833333333333,0.13700230701200253,0.8471914096171692,0.25581095596133185
Woluwe-saint-lambert,1200,Apartment,apartment,299000,1,82,1,0,0,1,1,0,0,3,202,5,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20186384,3646.3414634146343,0.015131870682985583,0.1196,0.20806136363636363,0.47654732029513713,0.1655308767042207,0.10900685957446808,0.13700230701200253,1.0,0.26896908939014197
Oostende,8400,Apartment,apartment,185000,2,67,0,0,0,1,0,0,0,6,85,3,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20294257,2761.194029850746,0.011458617194673353,0.074,0.1274333653846154,0.47654732029513713,0.2396759183972921,0.09433618571428572,0.13700230701200253,0.783305349684755,0.26725563909774436
Woluwe-saint-pierre,1150,Apartment,apartment,455000,3,142,1,0,0,1,0,0,0,4,96,1,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/20327125,3204.225352112676,0.01329714294555071,0.182,0.3131098039215686,0.47654732029513713,0.36599695373253655,0.1851908148148148,0.13700230701200253,0.9573283041101045,0.22083333333333333
Oostende,8400,Apartment,apartment,299000,2,81,1,0,0,1,0,0,0,5,121,4,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20187285,3691.358024691358,0.015318683901294048,0.1196,0.1274333653846154,0.47654732029513713,0.2396759183972921,0.11188822105263158,0.13700230701200253,0.7529000001650661,0.23915470494417862
Gent,9000,Apartment,apartment,299000,1,75,1,0,0,1,0,0,0,5,0,3,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20043170,3986.6666666666665,0.016544178613397572,0.1196,0.19581,0.47654732029513713,0.1655308767042207,0.10111024444444444,0.13700230701200253,0.783305349684755,0.2372536722133202
Uccle,1180,House,house,850000,4,230,1,0,0,1,1,0,250,2,245,3,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20272117,3695.6521739130435,0.015336504094868331,0.34,0.30779215302013424,1.0,0.5356062052779402,0.28622,0.3497,0.783305349684755,0.2945697577276525
Kortrijk,8500,House,house,495000,3,160,0,0,0,0,0,0,315,4,291,5,https://www.immoweb.be/en/classified/house/for-sale/kortrijk/8500/20192600,3093.75,0.012838683758829114,0.198,0.2033047441860465,1.0,0.36599695373253655,0.215385375,0.23997000000000002,1.0,0.18439280018227386
Meise,1860,House,villa,745000,4,200,1,0,0,1,1,0,1000,3,330,0,https://www.immoweb.be/en/classified/villa/for-sale/meise/1860/20164309,3725.0,0.01545829398032758,0.298,0.31320000000000003,1.0,0.5356062052779402,0.2631299142857143,0.28611864,0.7864438202662855,0.29785018100807575
Sint-michiels,8200,Apartment,apartment,325000,3,110,1,0,0,1,0,0,0,5,177,3,https://www.immoweb.be/en/classified/apartment/for-sale/sint-michiels/8200/11114876,2954.5454545454545,0.0122610019368065,0.13,0.1874814814814815,0.47654732029513713,0.36599695373253655,0.14806463880597015,0.13700230701200253,0.783305349684755,0.2557769423558897
Gent,9000,Apartment,apartment,695000,3,158,0,0,0,1,0,0,0,0,0,3,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20307992,4398.734177215189,0.018254208336297116,0.278,0.19581,0.47654732029513713,0.36599695373253655,0.19884444444444443,0.13700230701200253,0.783305349684755,0.2372536722133202
Oudenaarde,9700,Apartment,apartment,325000,2,99,0,0,0,0,0,0,0,4,230,3,https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/20246067,3282.8282828282827,0.013623335485340555,0.13,0.14756254545454547,0.47654732029513713,0.2396759183972921,0.13328882162162162,0.13700230701200253,0.783305349684755,0.3205795739348371
Sint-niklaas,9100,House,villa,1185000,5,400,1,0,0,0,0,0,2819,2,423,3,https://www.immoweb.be/en/classified/villa/for-sale/sint-niklaas/9100/11446068,2962.5,0.012294012326636364,0.474,0.18940947368421054,1.0,0.7251596118954756,0.5354285714285714,0.474,0.783305349684755,0.395187969924812
Deerlijk,8540,Apartment,apartment,329343,3,114,0,0,0,1,0,0,0,6,25,3,https://www.immoweb.be/en/classified/apartment/for-sale/deerlijk/8540/10671250,2888.9736842105262,0.011988887117303722,0.1317372,0.16831785,0.47654732029513713,0.36599695373253655,0.14616932941176472,0.13700230701200253,0.783305349684755,0.1981754887218045
Sint-idesbald,8670,Apartment,apartment,329000,2,74,0,1,0,0,0,0,0,6,89,0,https://www.immoweb.be/en/classified/apartment/for-sale/sint-idesbald/8670/20327088,4445.945945945946,0.01845013139679947,0.1316,0.1755990807017544,0.47654732029513713,0.2396759183972921,0.10362967058823529,0.13700230701200253,0.7864438202662855,0.26165886591478693
Sijsele,8340,Apartment,apartment,330000,2,87,0,0,0,1,0,0,0,6,82,0,https://www.immoweb.be/en/classified/apartment/for-sale/sijsele/8340/20253071,3793.103448275862,0.015740914953353703,0.132,0.2922,0.47654732029513713,0.2396759183972921,0.11874797,0.13700230701200253,0.7864438202662855,0.21744360902255636
Borgloon,3840,Apartment,apartment,299000,2,76,1,0,0,1,0,0,0,6,90,0,https://www.immoweb.be/en/classified/apartment/for-sale/borgloon/3840/20327070,3934.2105263157896,0.01632649205269497,0.1196,0.15410000000000001,0.47654732029513713,0.2396759183972921,0.10433953488372093,0.13700230701200253,0.7864438202662855,0.22467279309384572
Oostende,8400,Apartment,apartment,164000,1,55,0,0,0,0,0,0,0,1,519,1,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20308684,2981.818181818182,0.012374180416223176,0.0656,0.1274333653846154,0.47654732029513713,0.1655308767042207,0.07551666666666666,0.13700230701200253,0.9573283041101045,0.13767752715121134
Tielt,8700,House,house,443800,3,156,0,0,0,0,0,0,436,6,0,3,https://www.immoweb.be/en/classified/house/for-sale/tielt-8700/8700/20125591,2844.871794871795,0.01180586967556252,0.17752,0.18767692307692307,1.0,0.36599695373253655,0.1915308888888889,0.18218399999999998,0.783305349684755,0.2372536722133202
Aalst,9300,Apartment,apartment,265000,2,90,0,0,0,1,0,0,0,5,101,0,https://www.immoweb.be/en/classified/apartment/for-sale/aalst%20%289300%29/9300/20327028,2944.4444444444443,0.01221908398146699,0.106,0.16212693333333333,0.47654732029513713,0.2396759183972921,0.12260625405405405,0.13700230701200253,0.7864438202662855,0.22571177944862153
Depanne,8660,Apartment,apartment,260000,2,65,0,0,0,0,0,0,0,5,101,3,https://www.immoweb.be/en/classified/apartment/for-sale/de%20panne/8660/11198633,4000.0,0.016599510314445724,0.104,0.13066875,0.47654732029513713,0.2396759183972921,0.09024663859649122,0.13700230701200253,0.783305349684755,0.22571177944862153
Antwerpen,2018,Apartment,apartment,585000,3,134,1,0,0,1,0,0,0,6,73,5,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20308648,4365.671641791045,0.018117002861848412,0.234,0.22716313725490195,0.47654732029513713,0.36599695373253655,0.18253736,0.13700230701200253,1.0,0.28909774436090224
Antwerpen,2018,House,house,415000,3,119,1,0,0,0,0,0,43,5,0,5,https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2018/20310446,3487.3949579831933,0.014472262143897007,0.166,0.22716313725490195,1.0,0.36599695373253655,0.15724315555555554,0.1629,1.0,0.2372536722133202
Seraing,4100,Apartment,apartment,219000,2,80,1,0,0,0,0,0,0,4,248,0,https://www.immoweb.be/en/classified/apartment/for-sale/seraing/4100/20310539,2737.5,0.011360289871448792,0.0876,0.09303333333333334,0.47654732029513713,0.2396759183972921,0.11031126376811595,0.13700230701200253,0.7864438202662855,0.3244778613199666
Licage,4000,Apartment,apartment,169000,1,60,1,0,0,0,0,0,0,4,201,3,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/20308642,2816.6666666666665,0.011688821846422197,0.0676,0.14449232222222222,0.47654732029513713,0.1655308767042207,0.0833133652173913,0.13700230701200253,0.783305349684755,0.19453178400546822
Antwerpen,2000,Apartment,apartment,225000,1,55,1,0,0,0,0,0,0,4,242,5,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20310329,4090.909090909091,0.01697677191250131,0.09,0.2224523833333333,0.47654732029513713,0.1655308767042207,0.07551666666666666,0.13700230701200253,1.0,0.31063372717508053
Leuven,3000,House,house,375000,3,124,0,0,0,0,0,0,215,4,287,3,https://www.immoweb.be/en/classified/house/for-sale/leuven/3000/20307877,3024.1935483870966,0.012550032999832955,0.15,0.2262061,1.0,0.36599695373253655,0.1576048114285714,0.24070666666666668,0.783305349684755,0.3282296650717703
Messancy,6780,House,house,549000,4,150,1,0,1,0,1,0,820,4,186,5,https://www.immoweb.be/en/classified/house/for-sale/messancy/6780/20300734,3660.0,0.015188551937717837,0.2196,0.18226666666666666,1.0,0.5356062052779402,0.19683041194029852,0.2196,1.0,0.2847117794486216
Ixelles,1050,Apartment,apartment,375000,2,100,1,0,0,1,0,0,0,2,213,3,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20222171,3750.0,0.015562040919792866,0.15,0.3055045009009009,0.47654732029513713,0.2396759183972921,0.1383929806451613,0.13700230701200253,0.783305349684755,0.3751651856915015
Knokke-heist,8300,House,house,495000,3,165,0,0,0,0,0,0,165,2,448,3,https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/11065663,3000.0,0.012449632735834293,0.198,0.38531219512195125,1.0,0.36599695373253655,0.21371275,0.24305,0.783305349684755,0.21537176274018383
Gent,9000,Apartment,apartment,445000,3,125,1,0,0,1,0,0,0,5,0,3,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20214655,3560.0,0.014773564179856693,0.178,0.19581,0.47654732029513713,0.36599695373253655,0.15873371914893616,0.13700230701200253,0.783305349684755,0.2372536722133202
